order_id,order_date,province,city,sales_channel,customer_segment,product_category,product_name,units,unit_price_lkr,discount_pct,revenue_lkr,cost_lkr,profit_lkr,payment_method,delivery_days,customer_rating,returned,promotion
LM26-0001,2026-04-28,Eastern,Batticaloa,Store,Corporate,Fashion,Casual Shirt,3,4990,0.25,11228,6750,4478,Debit Card,0,,No,App Exclusive
LM26-0002,2026-04-05,Northern,Kilinochchi,Store,Small Business,Electronics,Bluetooth Speaker,1,9990,0.15,8492,6448,2044,Debit Card,0,5,No,New Year
LM26-0003,2026-04-15,Central,Matale,Online,Corporate,Home,Table Lamp,1,5990,0.1,5391,3150,2241,Bank Transfer,9,3,No,App Exclusive
LM26-0004,2026-05-14,Uva,Badulla,Online,Small Business,Home,Air Fryer,3,24990,0.05,71222,53100,18122,Credit Card,6,4,No,App Exclusive
LM26-0005,2026-03-10,Central,Nuwara Eliya,Mobile App,Consumer,Electronics,Smart Watch,1,18990,0,18990,12688,6302,Credit Card,3,3,Yes,None
LM26-0006,2026-04-17,Uva,Monaragala,Store,Consumer,Home,Air Fryer,1,24990,0.1,22491,17700,4791,Cash on Delivery,0,5,No,Weekend Deal
LM26-0007,2026-04-28,Southern,Hambantota,Online,Small Business,Electronics,Bluetooth Speaker,3,9990,0,29970,19344,10626,Cash on Delivery,6,4,No,None
LM26-0008,2026-02-01,Western,Colombo,Online,Corporate,Fashion,Running Shoes,3,10990,0.25,24728,18300,6428,Cash on Delivery,3,5,No,Weekend Deal
LM26-0009,2026-01-18,Southern,Galle,Online,Small Business,Fashion,Running Shoes,4,10990,0.05,41762,24400,17362,Digital Wallet,3,4,No,New Year
LM26-0010,2026-03-23,Southern,Hambantota,Mobile App,Consumer,Home,Table Lamp,4,5990,0.05,22762,12600,10162,Debit Card,6,4,No,New Year
LM26-0011,2026-05-16,Southern,Matara,Mobile App,Consumer,Beauty,Hair Dryer,4,7990,0.2,25568,18800,6768,Credit Card,4,4,No,New Year
LM26-0012,2026-03-27,Western,Colombo,Store,Corporate,Sports,Dumbbell Set,4,15990,0.1,57564,39200,18364,Credit Card,0,5,No,Weekend Deal
LM26-0013,2026-04-22,Uva,Monaragala,Store,Consumer,Beauty,Skin Care Set,4,8990,0,35960,17600,18360,Debit Card,0,5,No,None
LM26-0014,2026-05-28,Sabaragamuwa,Kegalle,Store,Corporate,Home,Air Fryer,4,24990,0.15000000000000002,84966,70800,14166,Digital Wallet,0,5,No,New Year
LM26-0015,2026-03-03,Sabaragamuwa,Ratnapura,Store,Corporate,Sports,Yoga Mat,1,4490,0.25,3368,2100,1268,Credit Card,0,5,No,Weekend Deal
LM26-0016,2026-06-20,Sabaragamuwa,Ratnapura,Mobile App,Consumer,Fashion,Backpack,2,7490,0.05,14231,7600,6631,Bank Transfer,5,3,No,Weekend Deal
LM26-0017,2026-05-24,Western,Colombo,Mobile App,Small Business,Sports,Cricket Bat,4,12990,0.05,49362,30400,18962,Digital Wallet,3,4,No,None
LM26-0018,2026-05-13,Western,Negombo,Mobile App,Small Business,Fashion,Backpack,1,7490,0.15,6367,3800,2567,Debit Card,5,,No,New Year
LM26-0019,2026-06-20,North Central,Anuradhapura,Online,Small Business,Electronics,Smart Watch,2,18990,0.15,32283,25376,6907,Credit Card,4,4,No,Weekend Deal
LM26-0020,2026-04-01,Sabaragamuwa,Kegalle,Store,Consumer,Home,Air Fryer,2,24990,0.05,47481,35400,12081,Bank Transfer,0,5,No,None
LM26-0021,2026-04-01,Southern,Galle,Online,Small Business,Fashion,Backpack,1,7490,0.2,5992,3800,2192,Bank Transfer,7,3,No,App Exclusive
LM26-0022,2026-04-04,North Western,Kurunegala,Online,Consumer,Sports,Dumbbell Set,2,15990,0.05,30381,19600,10781,Credit Card,2,5,No,New Year
LM26-0023,2026-04-24,North Central,Anuradhapura,Store,Consumer,Sports,Yoga Mat,1,4490,0,4490,2100,2390,Bank Transfer,0,5,No,None
LM26-0024,2026-01-16,Sabaragamuwa,Ratnapura,Store,Consumer,Electronics,Bluetooth Speaker,2,9990,0.05,18981,12896,6085,Cash on Delivery,0,5,No,Weekend Deal
LM26-0025,2026-01-02,Northern,Kilinochchi,Mobile App,Small Business,Beauty,Perfume,2,11990,0.2,19184,13800,5384,Cash on Delivery,2,4,No,New Year
LM26-0026,2026-03-07,Western,Colombo,Mobile App,Consumer,Home,Rice Cooker,4,13990,0.1,50364,37600,12764,Cash on Delivery,4,4,No,New Year
LM26-0027,2026-01-13,Western,Negombo,Store,Small Business,Fashion,Casual Shirt,4,4990,0,19960,9000,10960,Debit Card,0,5,No,None
LM26-0028,2026-04-18,North Central,Polonnaruwa,Online,Consumer,Fashion,Backpack,3,7490,0.15,19100,11400,7700,Credit Card,9,4,No,Weekend Deal
LM26-0029,2026-02-23,Northern,Jaffna,Mobile App,Consumer,Home,Table Lamp,4,5990,0.05,22762,12600,10162,Debit Card,8,3,No,New Year
LM26-0030,2026-04-16,Eastern,Trincomalee,Store,Consumer,Home,Table Lamp,4,5990,0.2,19168,12600,6568,Debit Card,0,4,No,App Exclusive
LM26-0031,2026-02-19,Central,Kandy,Store,Consumer,Sports,Yoga Mat,4,4490,0,17960,8400,9560,Debit Card,0,5,No,None
LM26-0032,2026-05-04,Northern,Kilinochchi,Mobile App,Corporate,Beauty,Hair Dryer,3,7990,0.1,21573,14100,7473,Bank Transfer,6,4,No,App Exclusive
LM26-0033,2026-03-25,Southern,Matara,Store,Consumer,Beauty,Hair Dryer,3,7990,0,23970,14100,9870,Debit Card,0,5,No,None
LM26-0034,2026-01-12,Southern,Galle,Store,Small Business,Beauty,Skin Care Set,1,8990,0.15,7642,4400,3242,Digital Wallet,0,5,No,App Exclusive
LM26-0035,2026-02-24,Eastern,Trincomalee,Store,Consumer,Sports,Yoga Mat,1,4490,0.2,3592,2100,1492,Bank Transfer,0,5,No,New Year
LM26-0036,2026-02-26,Western,Kalutara,Mobile App,Corporate,Beauty,Hair Dryer,4,7990,0.2,25568,18800,6768,Cash on Delivery,7,4,No,New Year
LM26-0037,2026-05-23,Western,Colombo,Mobile App,Consumer,Home,Table Lamp,2,5990,0.1,10782,6300,4482,Debit Card,7,3,No,New Year
LM26-0038,2026-05-17,Southern,Matara,Online,Consumer,Sports,Yoga Mat,1,4490,0.1,4041,2100,1941,Cash on Delivery,8,2,Yes,Weekend Deal
LM26-0039,2026-01-12,Northern,Jaffna,Mobile App,Small Business,Home,Rice Cooker,4,13990,0.15,47566,37600,9966,Bank Transfer,5,5,No,New Year
LM26-0040,2026-05-15,Central,Kandy,Store,Consumer,Beauty,Hair Dryer,3,7990,0.1,21573,14100,7473,Credit Card,0,5,No,Weekend Deal
LM26-0041,2026-01-26,Western,Negombo,Mobile App,Consumer,Sports,Yoga Mat,2,4490,0,8980,4200,4780,Credit Card,4,4,No,None
LM26-0042,2026-06-22,Western,Negombo,Store,Consumer,Home,Table Lamp,4,5990,0.05,22762,12600,10162,Bank Transfer,0,5,No,Weekend Deal
LM26-0043,2026-01-14,Sabaragamuwa,Kegalle,Mobile App,Small Business,Beauty,Hair Dryer,2,7990,0.1,14382,9400,4982,Credit Card,7,4,No,Weekend Deal
LM26-0044,2026-06-11,Western,Colombo,Online,Corporate,Home,Rice Cooker,1,13990,0.25,10493,9400,1093,Cash on Delivery,1,5,No,Weekend Deal
LM26-0045,2026-05-09,Uva,Monaragala,Mobile App,Consumer,Beauty,Skin Care Set,1,8990,0.15,7642,4400,3242,Credit Card,7,4,No,Weekend Deal
LM26-0046,2026-01-12,Central,Kandy,Online,Consumer,Beauty,Skin Care Set,3,8990,0.2,21576,13200,8376,Bank Transfer,8,3,No,Weekend Deal
LM26-0047,2026-04-09,Western,Colombo,Mobile App,Consumer,Beauty,Perfume,4,11990,0,47960,27600,20360,Cash on Delivery,3,4,No,None
LM26-0048,2026-06-17,Central,Matale,Online,Consumer,Fashion,Backpack,4,7490,0.05,28462,15200,13262,Cash on Delivery,6,3,No,New Year
LM26-0049,2026-06-25,Southern,Hambantota,Online,Consumer,Fashion,Running Shoes,4,10990,0.2,35168,24400,10768,Cash on Delivery,4,4,No,New Year
LM26-0050,2026-03-26,Eastern,Batticaloa,Mobile App,Consumer,Beauty,Skin Care Set,4,8990,0.1,32364,17600,14764,Cash on Delivery,2,5,No,App Exclusive
LM26-0051,2026-05-06,Western,Negombo,Online,Consumer,Fashion,Casual Shirt,2,4990,0.2,7984,4500,3484,Cash on Delivery,7,4,No,Weekend Deal
